epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,11.084985009428271,11.084985009428271,0.0,0.7923491766357332,0.20428161382154264,0.0,0.0,0.0,1.0,47.976802825927734,0.99,0.624,0.45348837209302323,1.0
2,0.0002,4.8303337610441535,4.8303337610441535,0.0,0.7960774975810353,0.2083645565263686,0.0,0.0,0.0,1.0,54.070065689086924,0.99,0.7264206209724663,0.5724838411819021,0.9935897435897436
3,0.0002,3.770501651188224,3.770501651188224,0.0,0.8115311542493147,0.21951092613518475,0.0,0.0,0.0,1.0,55.6911262512207,0.99,0.7913760304375397,0.6547743966421826,1.0
4,0.0002,3.293969385907049,3.293969385907049,0.0,0.8197470440984592,0.22833557349474215,0.0,0.0,0.0,1.0,55.81780853271484,0.95,0.8138925294888598,0.688470066518847,0.9951923076923077
5,0.0002,3.0714966108983743,3.0714966108983743,0.0,0.9955489675418921,0.9616611965323042,0.0,0.0,0.0,1.0,55.103830337524414,0.98,0.8091205211726384,0.681668496158068,0.9951923076923077
6,0.0002,2.923913535139459,2.923913535139459,0.0,0.885434763088065,0.33237379962225166,0.0,0.0,0.0,1.0,59.18189010620117,0.96,0.8303152246814218,0.7139561707035755,0.9919871794871795
7,0.0002,2.8003631649795926,2.8003631649795926,0.0,0.9261173509404641,0.659554703823691,0.0,0.0,0.0,1.0,62.86802940368653,0.99,0.8385345997286295,0.7270588235294118,0.9903846153846154
8,0.0002,2.712072697982645,2.712072697982645,0.0,0.9322046205890546,0.6749209419416591,0.0,0.0,0.0,1.0,65.68855590820313,0.95,0.8448979591836735,0.7340425531914894,0.9951923076923077
9,0.0001,2.598113971199992,2.598113971199992,0.0,0.8461855721584496,0.256151506880261,0.0,0.0,0.0,1.0,61.55196685791016,0.97,0.856945404284727,0.7533414337788579,0.9935897435897436
10,0.0001,2.5383739807427688,2.5383739807427688,0.0,0.8387529824735014,0.2464167970360209,0.0,0.0,0.0,1.0,64.34075088500977,0.95,0.8539944903581267,0.748792270531401,0.9935897435897436
