epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,15.575154866739178,15.575154866739178,0.0,0.5984012381550551,0.17279186253312154,0.0,0.0,0.0,1.0,59.63286407470703,0.99,0.44452397995705084,0.2857800276115969,1.0
2,0.0002,22.394094242717813,8.865461779341748,135.28632267849463,0.886816231414467,0.5491392860594275,0.32456140350877194,0.5085910652920962,0.23832528180354268,1.0,2.940389947891232,0.98,0.4323007309432649,0.27575488454706926,1.0
3,0.0002,13.569222061246954,6.409491832082624,71.59730144103186,0.9086643461042531,0.6980255497555062,0.5877712031558185,0.7582697201017812,0.47987117552334946,1.0,1.9000319337844764,0.96,0.4446831364124597,0.28591160220994477,1.0
4,0.0002,10.976794364178971,5.34675163280259,56.30042614019295,0.8919214687242581,0.6456233219373093,0.5685884691848907,0.7428571428571429,0.4605475040257649,1.0,1.6257142400741575,0.95,0.44452397995705084,0.2857800276115969,1.0
5,0.0002,9.606511823821792,4.833179098046398,47.73332616761789,0.8977980093252955,0.6841237651014574,0.5997993981945837,0.7952127659574468,0.48148148148148145,1.0,1.3430889987945556,0.98,0.4562821454812638,0.29557353641123274,1.0
6,0.0002,8.551319489514894,4.5103892438826865,40.4093015182879,0.8949593314588824,0.6607303857772325,0.5620300751879699,0.6749435665914221,0.48148148148148145,1.0,1.4081896066665636,0.98,0.44404719342152305,0.2853860294117647,1.0
7,0.0001,7.913800741355819,4.314619184996871,35.99181512124162,0.9013751191098118,0.6930102927489343,0.5891625615763547,0.7588832487309645,0.48148148148148145,1.0,1.209563784599303,0.98,0.45813353006270746,0.2971291866028708,1.0
8,0.0001,7.566119573849239,4.197010892810716,33.69108637398811,0.8893950689027027,0.6788321626365827,0.604040404040404,0.8102981029810298,0.48148148148148145,1.0,1.235206003189081,0.96,0.46108007448789573,0.2999031007751938,0.9967793880837359
