epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,9.364837722507774,9.364837722507774,0.0,0.6114901531525682,0.19001992286849434,0.0,0.0,0.0,1.0,59.49519889831542,0.98,0.5993031358885017,0.42786069651741293,1.0
2,0.0002,15.042350500390885,4.730931815965802,103.11418545229215,0.9625745586775633,0.739034035256124,0.5222707423580786,0.8059299191374663,0.3863049095607235,1.0,1.8730095815658543,0.97,0.6969833408374606,0.5348997926744989,1.0
3,0.0002,8.77750473022461,3.5663356289965042,52.111690272338,0.9629263729086551,0.6855528855142611,0.3004032258064516,0.6834862385321101,0.1925064599483204,1.0,1.2456402039527883,0.98,0.7659574468085106,0.6206896551724138,1.0
4,0.0002,6.881327840926799,3.1374365013880086,37.43891288594997,0.981763894858393,0.8201288309692616,0.5260370697263901,0.83008356545961,0.3850129198966408,1.0,1.041882145404815,0.97,0.8108957569408067,0.6819383259911894,1.0
5,0.0002,5.879469782376121,2.8843542587334383,29.95115477703987,0.9785554796268983,0.8163038083770068,0.5268722466960353,0.8282548476454293,0.3863049095607235,1.0,0.9130040657520286,0.98,0.8186144896879958,0.6929274843330349,1.0
6,0.0002,5.2404192942084995,2.7531002560067686,24.873189896387412,0.9836059378271418,0.84325956230964,0.5402504472271914,0.877906976744186,0.39018087855297157,1.0,0.8737196922302246,0.96,0.86,0.7543859649122807,1.0
7,0.0002,4.6936962563264455,2.6273810403566835,20.66315175428458,0.989144263418157,0.8788181062819538,0.5348837209302325,0.8691860465116279,0.3863049095607235,1.0,0.7988650387525548,0.98,0.8552486187845304,0.747104247104247,1.0
8,0.0002,4.340236630676486,2.5475529354176625,17.9268366576932,0.9928594423126014,0.9097773462581901,0.5330979699911739,0.841225626740947,0.39018087855297157,1.0,0.7740812146663659,0.96,0.8561946902654868,0.7485493230174082,1.0
9,0.0002,4.016865716081984,2.4675634637115693,15.493022192826508,0.9736677011516763,0.7766780084037013,0.49467649467649466,0.6756152125279642,0.39018087855297157,1.0,0.7307446789741515,0.97,0.821656050955414,0.6972972972972973,1.0
10,0.0002,3.781708152040522,2.4201983441021424,13.615097842656128,0.991297751309254,0.8922939714912135,0.5241379310344828,0.7875647668393783,0.39276485788113696,1.0,0.677109956741333,0.96,0.8505494505494505,0.739961759082218,1.0
11,0.0002,3.5491134312135952,2.3666312655320403,11.824821357997596,0.9936596135471842,0.9146413900623811,0.5399305555555556,0.8227513227513228,0.4018087855297158,1.0,0.6824160993099212,0.96,0.8706411698537683,0.7709163346613546,1.0
12,0.0002,3.3624289130488187,2.337111864800149,10.253170238251382,0.9966161930058368,0.9488935579399149,0.714177407126611,0.8642201834862385,0.6085271317829457,1.0,0.6228255128860472,0.94,0.8686868686868687,0.7678571428571429,1.0
13,0.0002,3.224675887493377,2.2925541574058803,9.321217086467337,0.9971992288946678,0.9546139301713186,0.711864406779661,0.8816793893129771,0.5968992248062015,1.0,0.5837847590446472,0.96,0.8805460750853242,0.7865853658536586,1.0
14,0.0002,3.052812553703362,2.2663787570574603,7.864337747181561,0.9949438729181033,0.9324106667198321,0.5522648083623694,0.8475935828877005,0.4095607235142119,1.0,0.5584800213575352,0.94,0.8810472396129767,0.7873855544252288,1.0
15,0.0002,2.9042128484468934,2.2391783579021483,6.650344660468135,0.9814770150898758,0.8023189074076247,0.3075335397316821,0.764102564102564,0.1925064599483204,1.0,0.5356951951980591,0.92,0.8881239242685026,0.7987616099071208,1.0
16,0.0002,2.7926278110937024,2.2105791124722636,5.820486747525263,0.9940952585130283,0.923313716136661,0.5308964316797214,0.8133333333333334,0.39405684754521964,1.0,0.4864093351364125,0.94,0.8845714285714286,0.7930327868852459,1.0
17,0.0001,2.609578525191503,2.1499974683666907,4.59581054227572,0.9981004092932554,0.969928001499921,0.9421789409616556,0.8906789413118527,1.0,1.0,0.42524808228015787,0.95,0.8795454545454545,0.7849898580121704,1.0
18,0.0001,2.5521678449076117,2.1164449770907137,4.357228663288955,0.9971652156047478,0.9578726334626718,0.9462102689486552,0.8979118329466357,1.0,1.0,0.4572132390737528,0.94,0.8911917098445595,0.8037383177570093,1.0
19,0.0001,2.509827179130933,2.118373954854113,3.9145322472998436,0.9948928529832233,0.9367360221822287,0.7120181405895691,0.8579234972677595,0.6085271317829457,1.0,0.4140814450383175,0.96,0.8932487016733988,0.8070907194994786,1.0
20,0.0001,2.469355097290472,2.1065855840588292,3.627695135698251,0.9977800315876957,0.9641147774939628,0.9376135675348274,0.8825541619156214,1.0,1.0,0.39172329992055865,0.95,0.8785471055618616,0.7834008097165992,1.0
