epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,val_threshold,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_balanced_accuracy,val_specificity,val_fpr,val_fnr,val_mcc,val_f1,val_precision,val_recall,val_support_pos,val_support_neg
1,1.2412879320618289,0.3073428567188079,0.9892006787807183,0.9636801254674771,0.5,101869,9273,324272,10630,0.9553788415492642,0.9388544625286064,0.9721986538548022,0.0278013461451978,0.09448972879758931,0.8812600617261505,0.9110046905531634,0.9165661945979018,0.9055102712024107,112499,333545
2,0.3825324869985273,0.17929299743190147,0.9969823204256781,0.9892216234944687,0.5,111782,7540,326005,717,0.9814883733443337,0.9855104822995748,0.9773943545848386,0.02260564541516137,0.006373389985688762,0.952644146785549,0.9643820016305684,0.9368096411391026,0.9936266100143112,112499,333545
3,0.2858359441900482,0.13386465010456827,0.9991870418242248,0.9978467791433099,0.5,112215,12057,321488,284,0.972332325958874,0.9806637435625271,0.9638519540092042,0.036148045990795845,0.0025244668841500812,0.9312411098454779,0.9478779073450718,0.9029789494013133,0.9974755331158499,112499,333545
4,0.17818108191891668,0.15487671123672403,0.9986378703035159,0.996128158427226,0.5,109517,3403,330142,2982,0.9856852687178843,0.9816452881587563,0.9897974786010884,0.010202521398911691,0.026506902283575853,0.9621005524184864,0.9716749697230491,0.9698636202621325,0.9734930977164241,112499,333545
5,0.19311434121410392,0.09571867532457641,0.9982574352559788,0.9937519210452476,0.5,112266,6401,327144,233,0.9851270278268511,0.9893690283228165,0.9808091861667841,0.019190813833215907,0.0020711295211512993,0.9618978632113246,0.9713020080807732,0.9460591402833138,0.9979288704788487,112499,333545
6,0.12721956295721368,0.08904416674483595,0.9994411223963229,0.9986872006795439,0.5,110519,1543,332002,1980,0.9921016760678318,0.9888868905519104,0.995373937549656,0.004626062450344031,0.017600156445835072,0.9790372608626441,0.9843116124349286,0.9862308365012226,0.9823998435541649,112499,333545
7,0.20054684139903686,0.05864143234555609,0.9996882342915477,0.9993260998332039,0.5,112304,4258,329287,195,0.9900166799687923,0.9927503788007974,0.9872341063424726,0.01276589365752747,0.0017333487408776967,0.9741238326808084,0.9805597635564326,0.9634700845901751,0.9982666512591223,112499,333545
8,0.10349589449481399,0.06772173610093514,0.9997933154863039,0.9995412590918473,0.5,112106,653,332892,393,0.9976549398714029,0.9972744393950612,0.9980422431755835,0.0019577568244164957,0.0034933643854612043,0.9937890076118524,0.9953564357314724,0.994208887982334,0.9965066356145388,112499,333545
9,0.1280240701215423,0.07070477516084106,0.999364685946935,0.9978384501438605,0.5,112065,1279,332266,434,0.9961595717014465,0.9961538114396835,0.9961654349488075,0.003834565051192493,0.0038578120694406173,0.9898564286840688,0.9924150848155577,0.9887157679277244,0.9961421879305594,112499,333545
10,0.10335011055075344,0.051385076330603706,0.9998285303580802,0.9995639765511901,0.5,112055,563,332982,444,0.9977423751916851,0.9971826850429626,0.9983120718343852,0.0016879281656148346,0.003946701748459986,0.9940172087687986,0.995526770523772,0.9950007991617681,0.99605329825154,112499,333545
