epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,15.283238670538548,15.283238670538548,0.0,0.5109138828722537,0.18338629807292955,0.0,0.0,0.0,1.0,68.36316497802727,0.99,0.44676258992805756,0.2876331635016211,1.0
2,0.0002,24.579097823074775,8.661395853199004,159.17701663665622,0.925840812549038,0.684281280287688,0.6130030959752322,0.853448275862069,0.4782608695652174,1.0,3.000215606689442,0.97,0.44805194805194803,0.28870292887029286,1.0
3,0.0002,15.490526106621619,6.471351031235175,90.19174821337077,0.9496357734458004,0.7331535550306434,0.6213389121338913,0.8865671641791045,0.4782608695652174,1.0,2.017685422897333,0.97,0.4514721919302072,0.2915492957746479,1.0
4,0.0002,12.69481978916491,5.424761347441999,72.700583642949,0.9406697150951998,0.7416669434367967,0.6052631578947368,0.8147138964577657,0.48148148148148145,1.0,1.5608710050582886,0.98,0.45,0.2903225806451613,1.0
5,0.0002,10.826413121639378,4.926498034794087,58.999149739247684,0.906188231657089,0.5912759157514025,0.34101382488479265,0.5991902834008097,0.23832528180354268,1.0,1.410509572029113,0.98,0.4504896626768226,0.2907303370786517,1.0
6,0.0002,9.621239867673049,4.612036649824863,50.092031284345985,0.8676142622626853,0.4795657236461569,0.17733990147783252,0.3769633507853403,0.11594202898550725,1.0,1.39684947490692,0.97,0.4488615829418142,0.2893755824790308,1.0
7,0.0002,8.819276730307797,4.3937022306996205,44.25574445852225,0.8962722297552452,0.5183146266667161,0.0,0.0,0.0,1.0,1.314771065711975,0.98,0.44724522866402594,0.2880333951762523,1.0
8,0.0001,8.193757875025643,4.226257929900081,39.67499899604047,0.8987426699772836,0.5031057498798572,0.0,0.0,0.0,1.0,1.291794419288632,0.96,0.4503263234227701,0.2905942910622368,1.0
9,0.0001,7.741883693758626,4.114207087821798,36.27676576167608,0.875007190612875,0.4314530595319535,0.0,0.0,0.0,1.0,1.3183254480361897,0.95,0.4495114006514658,0.28991596638655465,1.0
