epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,1.5277085318096126,1.1964213520921243,0.9425530908116916,0.8838020369832956,0.5077849923020282,0.9759668579368551,0.34316501850226644,0.31,0.8330372552294478,0.9453340378606874,0.7445872954119808
2,0.001,0.9177937057151203,1.177971141145434,0.9441409780458402,0.8677625636961713,0.49129187219911663,0.8549755375016832,0.34467596152976193,0.44,0.8266749076626309,0.9204071212928432,0.7502691650004072
3,0.001,0.6244587077278775,1.4891936373541381,0.9300978818898435,0.8550187658124424,0.5128302604067668,0.8555482738938334,0.3661548761840998,0.41,0.828226379822106,0.9192861242329257,0.7535805730726429
4,0.001,0.7031489797737979,0.8445864128862439,0.9617009245398689,0.915964013062103,0.8225937427715083,0.9018907426992726,0.7561138907235336,0.63,0.8521628576994453,0.9831438744248217,0.7519791544147584
5,0.001,0.6323165316195783,0.5533062342862279,0.9814648782934945,0.9561021477990128,0.8272635556170995,0.9123117030443841,0.7567200774471396,0.45,0.8833811397848481,0.890557190143435,0.8763198132582989
6,0.001,0.6218538783016503,0.6117259551999709,0.9760463654604721,0.943443627916967,0.8217888627146223,0.8871515761656075,0.7653966904014404,0.74,0.8570578152743993,0.99014643979368,0.7555077039999276
7,0.001,0.5420049226211959,0.5684839878568996,0.9825399070310497,0.9559989892328201,0.8290945582983245,0.9085224516198588,0.7624381372877216,0.33,0.879843254271411,0.874061375547996,0.8857021361296334
8,0.001,0.510537526385929,1.0014707235758094,0.9596785670772222,0.8853721733804918,0.8195100988397078,0.8902800029708539,0.7591629194676414,0.06,0.8317240292982594,0.736362812297351,0.9554588471595176
9,0.0005,0.5302992928624439,0.8399194454576612,0.9773809091395915,0.9429957964223404,0.8278514928534138,0.9084826013166571,0.7603662453518145,0.08,0.8621073410071242,0.7821991612556106,0.9601997701918988
10,0.0005,0.50501815807735,0.5642424053486972,0.9805052012914643,0.9523480904784709,0.8275760303383553,0.90672558741108,0.7611352882101206,0.24,0.881556881231488,0.8179017362965715,0.9559564631266568
