epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,11.006278641813442,11.006278641813442,0.0,0.6926169349518406,0.1421889407891177,0.0,0.0,0.0,1.0,45.00004577636719,0.99,0.6344687341128622,0.46463142218912884,1.0
2,0.0002,4.777767206234798,4.777767206234798,0.0,0.8276675499552858,0.24482965709894172,0.0,0.0,0.0,1.0,43.762706375122086,0.99,0.7641277641277642,0.6195219123505976,0.9967948717948718
3,0.0002,3.6840641919243655,3.6840641919243655,0.0,0.875159889900456,0.403557365381993,0.0,0.0,0.0,1.0,43.821825408935545,0.99,0.8175853018372703,0.6922222222222222,0.9983974358974359
4,0.0002,3.2740481411966673,3.2740481411966673,0.0,0.9665382278884638,0.7154007684742075,0.0,0.0,0.0,1.0,44.65094604492188,0.96,0.7997432605905006,0.6670235546038544,0.9983974358974359
5,0.0002,3.011729635672514,3.011729635672514,0.0,0.9797111627889931,0.7882515499800602,0.0,0.0,0.0,1.0,46.82998275756836,0.95,0.836241610738255,0.7193995381062356,0.9983974358974359
6,0.0002,2.8666198307452238,2.8666198307452238,0.0,0.9850560210230022,0.8406873045902408,0.0,0.0,0.0,1.0,48.07326431274414,0.93,0.8493150684931506,0.7416267942583732,0.9935897435897436
7,0.0002,2.7451863341324434,2.7451863341324434,0.0,0.8772533480670273,0.3417194995095436,0.0,0.0,0.0,1.0,49.461578369140625,0.96,0.8534246575342466,0.7452153110047847,0.9983974358974359
8,0.0002,2.7045475818021476,2.7045475818021476,0.0,0.8859950649455366,0.4999165272942472,0.0,0.0,0.0,1.0,50.394789123535155,0.93,0.8583275742916379,0.7545565006075334,0.9951923076923077
9,0.0002,2.6183591852848056,2.6183591852848056,0.0,0.9940059612819047,0.8992681975796203,0.0,0.0,0.0,1.0,52.14335708618165,0.92,0.8617095205003474,0.7607361963190185,0.9935897435897436
10,0.0002,2.5745070607124596,2.5745070607124596,0.0,0.9868464213983082,0.8583294587566008,0.0,0.0,0.0,1.0,54.70207901000977,0.95,0.8701754385964913,0.7740324594257179,0.9935897435897436
11,0.0002,2.5049222818183905,2.5049222818183905,0.0,0.9676745228042398,0.7174075611565434,0.0,0.0,0.0,1.0,54.17680625915528,0.94,0.8701754385964913,0.7740324594257179,0.9935897435897436
12,0.0002,2.463905620934329,2.463905620934329,0.0,0.9376148779155855,0.5772247273670744,0.0,0.0,0.0,1.0,55.284705352783206,0.94,0.8693820224719101,0.77375,0.9919871794871795
13,0.0001,2.3771147365235796,2.3771147365235796,0.0,0.9279950264620076,0.6054338264283956,0.0,0.0,0.0,1.0,54.97877807617188,0.92,0.8783592644978784,0.7860759493670886,0.9951923076923077
14,0.0001,2.3613259942355076,2.3613259942355076,0.0,0.8836355435706851,0.3384137675050164,0.0,0.0,0.0,1.0,54.97415428161621,0.93,0.8803963198867657,0.788339670468948,0.9967948717948718
