model_name,run_name,seed,data_root,variant_id,edge_family,chain_k,evaluation_mode,roc_auc,pr_auc,f1,precision,recall,balanced_accuracy,specificity,fpr,selected_threshold,best_epoch,best_val_pr_auc
gnn,20260409_223723_src_plus_dst_k5_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,src_plus_dst_k5,src+dst,5,threshold_tuned,0.9996497885017686,0.9985180460892105,0.9380912756832874,0.996423812243344,0.8862108165634675,0.9427358310892837,0.9992608456151001,0.0007391543848998909,0.82,26,0.9996046646257131
gnn,20260409_234539_src_plus_dst_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,src_plus_dst_k5,src+dst,5,threshold_0_5,0.9996421798178865,0.9985452443022285,0.9837371232354063,0.970043265613243,0.9978231424148607,0.9953310286737328,0.9928389149326049,0.007161085067395141,0.5,26,0.9996712186545149
gnn,20260409_234539_src_plus_dst_k5_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,src_plus_dst_k5,src+dst,5,threshold_tuned,0.9996421798178865,0.9985452443022285,0.9381762373705077,0.995440482006188,0.887142027863777,0.9430988544768955,0.9990556810900139,0.0009443189099861724,0.84,26,0.9996712186545149
gnn,20260410_004716_src_plus_dst_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,src_plus_dst_k5,src+dst,5,threshold_0_5,0.9994582415216047,0.9977189061202758,0.9785359957395119,0.9684468606758342,0.9888375580495357,0.9906752290601798,0.9925129000708239,0.007487099929176082,0.5,16,0.9995229741639771
gnn,20260410_004716_src_plus_dst_k5_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,src_plus_dst_k5,src+dst,5,threshold_tuned,0.9994582415216047,0.9977189061202758,0.9362445860522673,0.9906186304550302,0.8875290247678018,0.9427878730350313,0.9980467213022608,0.0019532786977392554,0.71,16,0.9995229741639771
gnn,20260409_051748_src_plus_dst_plus_svc_k1_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,0.9993347308918532,0.9974041782054619,0.9786026252841281,0.9632306430830503,0.9944732004643962,0.9928255629428431,0.9911779254212899,0.008822074578710105,0.5,23,0.9984028520181669
gnn,20260409_051748_src_plus_dst_plus_svc_k1_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,0.9993347308918532,0.9974041782054619,0.9634067177328115,0.9854925818650949,0.9422890866873065,0.9695327371089,0.9967763875304936,0.0032236124695063685,0.83,23,0.9984028520181669
gnn,20260409_054516_src_plus_dst_plus_svc_k1_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,0.9992550768855342,0.9971081686317029,0.9797139048030844,0.9730406775617321,0.9864792956656346,0.9900638134033996,0.9936483311411645,0.006351668858835565,0.5,20,0.9982423067696359
gnn,20260409_054516_src_plus_dst_plus_svc_k1_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,0.9992550768855342,0.9971081686317029,0.9676530976062555,0.9839971995099143,0.9518430727554179,0.974122833692021,0.9964025946286241,0.003597405371375895,0.71,20,0.9982423067696359
gnn,20260409_061004_src_plus_dst_plus_svc_k1_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,0.9996145710372423,0.9985573184727989,0.9858637144721795,0.9762715080221513,0.9956462848297214,0.9950112642320001,0.9943762436342788,0.005623756365721224,0.5,29,0.9975137662305332
gnn,20260409_061004_src_plus_dst_plus_svc_k1_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,0.9996145710372423,0.9985573184727989,0.9800189712677091,0.9919843403496166,0.9683388157894737,0.9832602198965805,0.9981816240036874,0.0018183759963126594,0.83,29,0.9975137662305332
gnn,20260409_063929_src_plus_dst_plus_svc_k1_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,0.9996504890126942,0.9987028226349471,0.9827668569517759,0.9706416607690493,0.9951988196594427,0.9941017762479423,0.9930047328364418,0.0069952671635582836,0.5,28,0.9985445496825276
