model_name,variant_id,edge_family,chain_k,evaluation_mode,data_root,n_runs,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,specificity_mean,specificity_std,specificity_min,specificity_max,fpr_mean,fpr_std,fpr_min,fpr_max,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max
gnn,src_only_k5,src_only,5,threshold_0_5,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_only_k5,5,0.999419224181277,0.00033842505887017355,0.9988268695287521,0.999650951414484,0.9975681628372574,0.0014755973594356145,0.9949889195963753,0.9985836942419374,0.9702276265021739,0.020841712227388443,0.9331502530068401,0.9826035651070069,0.9660821329842291,0.010899056429879865,0.9551600106403896,0.9835968909139641,0.9759070239938079,0.04935531640354697,0.887625773993808,0.998766447368421,0.9839126139945881,0.02338008435952064,0.942092877553715,0.9947330756065471,0.9919182039953682,0.002861212332012683,0.989103796386856,0.9965599811136218,0.008081796004631658,0.002861212332012694,0.0034400188863781996,0.01089620361314402,0.5,0.0,0.5,0.5
gnn,src_only_k5,src_only,5,threshold_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_only_k5,5,0.999419224181277,0.00033842505887017355,0.9988268695287521,0.999650951414484,0.9975681628372574,0.0014755973594356145,0.9949889195963753,0.9985836942419374,0.9368444322680979,0.003090744460542776,0.9315841891917609,0.9397439180537772,0.9931043063841667,0.007911617126312437,0.9796667155875172,0.9990972630657493,0.8866461880804953,0.0018837587671058952,0.8833809017027864,0.8880006772445821,0.94260164563491,0.0008499945153262313,0.9415977052441624,0.9436349754398163,0.9985571031893248,0.001669630992693693,0.9957168392297056,0.9998145087855385,0.0014428968106753005,0.0016696309926936739,0.0001854912144615696,0.004283160770294425,0.748,0.18633303518163385,0.44,0.93
gnn,src_plus_dst_k5,src+dst,5,threshold_0_5,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,5,0.9995844327527719,7.688111031466612e-05,0.9994582415216047,0.9996497885017686,0.9982681626605677,0.0003332252477679159,0.9977189061202758,0.9985452443022285,0.9820605162177035,0.0022135104834522215,0.9785359957395119,0.9840535010111977,0.968419391532955,0.002244514691370557,0.9654039134045216,0.9710366751044917,0.9961010061919504,0.004073493575283785,0.9888375580495357,0.9982464202786377,0.9942754758343877,0.0020172446575558774,0.9906752290601798,0.9953310286737328,0.9924499454768249,0.0005586468068397251,0.991686621024586,0.993086236551887,0.007550054523175159,0.0005586468068397103,0.006913763448113048,0.008313378975413982,0.5,0.0,0.5,0.5
gnn,src_plus_dst_k5,src+dst,5,threshold_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_k5,5,0.9995844327527719,7.688111031466612e-05,0.9994582415216047,0.9996497885017686,0.9982681626605677,0.0003332252477679159,0.9977189061202758,0.9985452443022285,0.937733524946978,0.0008481694010925996,0.9362445860522673,0.938300974599033,0.9944201125055109,0.0022998942054927676,0.9906186304550302,0.996423812243344,0.8871637964396285,0.0005824070367060805,0.8862108165634675,0.8877225232198143,0.9430029407928584,0.00022627773110757063,0.9427358310892837,0.9432373366158091,0.9988420851460884,0.00048105495304396023,0.9980467213022608,0.9992608456151001,0.0011579148539116162,0.0004810549530439827,0.0007391543848998909,0.0019532786977392554,0.8059999999999998,0.05594640292279746,0.71,0.85
gnn,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,5,0.9994687411267258,0.00017198378150271655,0.9992550768855342,0.9996504890126942,0.997966937348178,0.0006988085095603601,0.9971081686317029,0.9987028226349471,0.9812389261957923,0.003039928974081057,0.9786026252841281,0.9858637144721795,0.9694967206138297,0.005613535187000141,0.9632306430830503,0.9762715080221513,0.9932928599071207,0.0038365540062417288,0.9864792956656346,0.9956462848297214,0.9930113642447029,0.001865008635139462,0.9900638134033996,0.9950112642320001,0.9927298685822852,0.001387130554136905,0.9911779254212899,0.9943762436342788,0.007270131417714973,0.0013871305541369003,0.005623756365721224,0.008822074578710105,0.5,0.0,0.5,0.5
gnn,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,5,0.9994687411267258,0.00017198378150271655,0.9992550768855342,0.9996504890126942,0.997966937348178,0.0006988085095603601,0.9971081686317029,0.9987028226349471,0.9611584561740159,0.015918898955707247,0.9366395424145073,0.9800189712677091,0.9899573180759151,0.0052416682939308784,0.9839971995099143,0.9969014891961616,0.9345249613003096,0.0323688295434122,0.8832478715170279,0.9683388157894737,0.9661481281269122,0.01579733248622508,0.941304947079099,0.9832602198965805,0.9977712949535148,0.0011930432829889207,0.9964025946286241,0.99936202264117,0.0022287050464852225,0.0011930432829889228,0.0006379773588299439,0.003597405371375895,0.82,0.06855654600401045,0.71,0.9
gnn,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,5,0.9997791178655341,6.229154356391755e-05,0.9996874165090225,0.9998565292104266,0.9991132362930415,0.00027263966827609367,0.9986806387697529,0.9994070022120495,0.9922584294309246,0.0024212175633198207,0.9893736956991053,0.994858999162252,0.9879255958255087,0.0047116428402683465,0.9812532711614408,0.9924629165863995,0.996640383126935,0.0016351585227567065,0.9939168924148607,0.9981375773993808,0.9969025890093096,0.0009319622076279209,0.9957063805098147,0.9980865284049281,0.9971647948916844,0.0011217720324029064,0.9955706946364934,0.9982406439355614,0.0028352051083156277,0.0011217720324029055,0.0017593560644385236,0.004429305363506571,0.5,0.0,0.5,0.5
gnn,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,5,0.9997791178655341,6.229154356391755e-05,0.9996874165090225,0.9998565292104266,0.9991132362930415,0.00027263966827609367,0.9986806387697529,0.9994070022120495,0.9697564755880327,0.0224561627773868,0.936206918584591,0.994894722532701,0.9940575871006366,0.0009697083476391904,0.992454414912352,0.9950473838088517,0.9473248839009288,0.04190853395396489,0.8859931308049536,0.9957309404024768,0.9730067586120722,0.020989825024063567,0.9422138486869078,0.9971740938564271,0.9986886333232157,0.0001766869037710573,0.9984345665688622,0.9988954841320697,0.0013113666767843694,0.00017668690377105768,0.0011045158679302554,0.0015654334311377919,0.8039999999999999,0.046151923036857286,0.75,0.85
gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_0_5,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,5,0.9998371185659073,4.7532812862560396e-05,0.9997888253222955,0.9998869469345173,0.999390238529173,0.0002132212676481659,0.9991249042498197,0.9996164337954591,0.9924407560582432,0.0012458596076976105,0.9906364793162229,0.9937724189902035,0.9880848145133048,0.0035846574119934756,0.9833881500548167,0.9919481397426302,0.9968459752321982,0.0018083024660405797,0.9937475812693498,0.9980892027863777,0.9970244962779766,0.0006304995039497185,0.9959364979070546,0.9974995206425148,0.9972030173237553,0.0008550385314223328,0.9960822007127359,0.9981254145447596,0.0027969826762447585,0.0008550385314223353,0.0018745854552404079,0.003917799287264061,0.5,0.0,0.5,0.5
gnn,src_plus_dst_plus_svc_k5,src+dst+svc,5,threshold_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn,5,0.9998371185659073,4.7532812862560396e-05,0.9997888253222955,0.9998869469345173,0.999390238529173,0.0002132212676481659,0.9991249042498197,0.9996164337954591,0.9935163081108824,0.0009652405094821829,0.9921729677497282,0.994451320754717,0.9924458358704357,0.0009913538102937639,0.9909520822274768,0.9934042039139889,0.9945892995356038,0.0010670070644382408,0.9933968653250774,0.9959486261609907,0.9964149717355827,0.0006255175665421493,0.9956445053076435,0.9971536549801502,0.9982406439355614,0.00023120304063578415,0.9978921452902094,0.9984654817712725,0.0017593560644385236,0.00023120304063577264,0.0015345182287275303,0.0021078547097905637,0.734,0.1580506248010428,0.5,0.91
