epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,10.919965240322659,10.919965240322659,0.0,0.768837000263887,0.18782538378819427,0.0,0.0,0.0,1.0,51.82561187744141,0.99,0.5954198473282443,0.42391304347826086,1.0
2,0.0002,4.790706771927482,4.790706771927482,0.0,0.9093882401665421,0.5980199849105745,0.0,0.0,0.0,1.0,46.972886657714845,0.98,0.7220930232558139,0.5666058394160584,0.9951923076923077
3,0.0002,3.6832485860641837,3.6832485860641837,0.0,0.8028179564146545,0.21276257446322686,0.0,0.0,0.0,1.0,46.566917419433594,0.99,0.7797246558197747,0.6396303901437371,0.9983974358974359
4,0.0002,3.2693744953081647,3.2693744953081647,0.0,0.9081618067467123,0.6199594314270637,0.0,0.0,0.0,1.0,48.35721397399904,0.99,0.8171052631578948,0.6930803571428571,0.9951923076923077
5,0.0002,3.0395618821191186,3.0395618821191186,0.0,0.9174593586445001,0.6365137903137141,0.0,0.0,0.0,1.0,49.85223236083984,0.99,0.8144262295081968,0.6892341842397336,0.9951923076923077
6,0.0002,2.9093980056157704,2.9093980056157704,0.0,0.8691469530207738,0.29440921794613584,0.0,0.0,0.0,1.0,51.402054977416995,0.95,0.8386225523295071,0.7246207701283547,0.9951923076923077
7,0.0002,2.795879193421142,2.795879193421142,0.0,0.9034420767911334,0.37548259390684746,0.0,0.0,0.0,1.0,54.891037750244145,0.93,0.8466257668711656,0.7366548042704626,0.9951923076923077
8,0.0002,2.725170755101774,2.725170755101774,0.0,0.8435771677222149,0.2520282996434099,0.0,0.0,0.0,1.0,61.03819198608399,0.95,0.8483606557377049,0.7392857142857143,0.9951923076923077
9,0.0001,2.5935577619673733,2.5935577619673733,0.0,0.8918244033220448,0.32867058845386726,0.0,0.0,0.0,1.0,59.226203536987306,0.94,0.856551724137931,0.7518159806295399,0.9951923076923077
10,0.0001,2.5455465132011175,2.5455465132011175,0.0,0.8730506259987392,0.28737821393495994,0.0,0.0,0.0,1.0,60.28983421325684,0.96,0.8595271210013908,0.7592137592137592,0.9903846153846154
