epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,1.3474456549770324,0.8096816837967086,0.9724230491760476,0.9589275427813675,0.9296473440392404,0.9669549919366662,0.8951116016900847,0.54,0.9411066947908147,0.9983155074787409,0.8900992517665367
2,0.001,0.32302265071896635,0.6234819275303922,0.9759044489704444,0.9634891426431819,0.9292924668665736,0.9405697445972495,0.9182824106326961,0.79,0.9500404846797449,0.9965826909322101,0.9076515240619939
3,0.001,0.23193157364734396,0.28937029555043514,0.9876892921249953,0.9767849035587337,0.9128150698371359,0.9000430924553026,0.9259547440896795,0.84,0.9562281953134931,0.9968587415333268,0.9187800265998354
4,0.001,0.19634715381669413,0.41602005931201436,0.9923982322072031,0.9840722735952996,0.950419405818379,0.9834344489922301,0.9195490694581414,0.72,0.9550545399763668,0.9955538543077558,0.9177214617242846
5,0.001,0.17249356199191743,0.2671323488558053,0.9966360602071198,0.9919814313138137,0.9448236919785703,0.9590221990270451,0.9310394745175387,0.76,0.9573995349601898,0.9956036655659548,0.9220190541677599
6,0.001,0.13678140101924216,0.22136614652051292,0.9964946021736764,0.9916657437201224,0.9514928326342106,0.9800606141983005,0.9245433242556117,0.75,0.9561344031340641,0.9968679123015445,0.9185990753390574
7,0.001,0.13063671822198022,0.23016036429088974,0.9976717976396193,0.9939012045775332,0.9486671093383606,0.9744352869352869,0.9242266595492504,0.7,0.9572648769532902,0.9956606299905199,0.9217204845874764
8,0.001,0.12707812141333663,0.14843189843610646,0.9981045543020134,0.9949015004308712,0.9381145170618855,0.9444413879107981,0.9318718503171171,0.19,0.9624437316013887,0.9368639276290991,0.9894595890596868
9,0.001,0.0899698220683267,0.1042672014886557,0.9989476557613614,0.9972178767807404,0.9653884664303304,0.9625059582160427,0.9682882915486714,0.36,0.9723075829973178,0.9547797420221348,0.9904910112461208
10,0.001,0.07654779744091286,0.16214862685155113,0.9993718975697463,0.9983939933094272,0.9676662757580834,0.9962724110505284,0.9406570340278846,0.09,0.9862786428231455,0.9882901215501735,0.9842753354383996
11,0.001,0.1095992761966207,0.07658152224059095,0.9988351306248598,0.9968696627637708,0.9700162578512984,0.9527989877394302,0.9878672179648411,0.36,0.9709911255019238,0.9486758968338915,0.9943814633528459
12,0.001,0.08066862931620758,0.06133166835998391,0.9994854581019141,0.9987643347124305,0.9648214801776003,0.9348414523423645,0.9967881151211921,0.86,0.9863058585803421,0.9922895185069871,0.9803939308947135
13,0.001,0.08868470977051589,0.051219020316447796,0.9996409428930175,0.9991458798571881,0.9855751360308113,0.9757821367763905,0.9955666941109412,0.65,0.9904267724934687,0.9895858736395249,0.9912691016674658
14,0.001,0.24189229593357486,0.06085876156591844,0.9996896609591486,0.999270047775016,0.9780783665048112,0.9616665938005509,0.9950600305807631,0.71,0.9906458958981664,0.9934219504872124,0.987885313090919
15,0.001,0.07297029596316379,0.03507948541063467,0.9997416420654142,0.9994485441758018,0.9824613012065376,0.9681905230423248,0.9971590652057868,0.77,0.9933568329718004,0.9923433225285094,0.9943724157898071
16,0.001,0.06185455631151447,0.07228155980956902,0.9998118166989582,0.9994223555034504,0.9930249433106576,0.9955261746064943,0.9905362490613153,0.27,0.9940402441781596,0.9936089240031458,0.9944719389832348
17,0.001,0.09339795353476688,0.04583414190965774,0.9997382476293127,0.9994521001294648,0.9735082963185362,0.9507067153045473,0.9974304920969537,0.77,0.995346102530472,0.995116569299499,0.9955757416739801
18,0.001,0.10339323885080273,0.05307505595391844,0.999680923987788,0.9993435498247849,0.9708909014785924,0.946484730791043,0.9965890687343364,0.95,0.9914404897340051,0.989412602157126,0.9934767070489564
19,0.0005,0.07864195493776441,0.026625183496434977,0.9997853584663509,0.9995821660664521,0.9895216032755091,0.9820704527834464,0.9970866847014757,0.82,0.996215756215032,0.9968384531067407,0.9955938368000579
20,0.0005,0.0346283175066166,0.019859257904626098,0.9999123607675112,0.999780766750512,0.9952842546502488,0.9937939184008515,0.9967790675581533,0.85,0.9961334371660902,0.9969730200016313,0.9952952672197743
21,0.0005,0.07115361263203596,0.018796159289282084,0.999857640341911,0.9997793543165062,0.9955645088438816,0.9940289891673958,0.9971047798275534,0.87,0.9965138810916533,0.997317601428196,0.9957114551195635
22,0.0005,0.03230137771292225,0.019824886021916545,0.9998663002733374,0.9997982449976729,0.9962435075062043,0.9955099828349444,0.9969781139450089,0.78,0.9968949722086434,0.9974457678547167,0.9963447845322863
23,0.0005,0.027891773452007974,0.023132804617905435,0.9998288594768864,0.9997013740249292,0.9956193039661105,0.9939494494990938,0.9972947786513703,0.8,0.9968405710509401,0.9974184548773086,0.9962633564649361
24,0.00025,0.03861966230748677,0.016901145584965166,0.9998638183273995,0.9997926205280204,0.996267543899287,0.995152335815843,0.9973852542817592,0.86,0.9970352734564185,0.9975906670048187,0.9964804979778696
25,0.00025,0.037492882541654525,0.017285545329144114,0.9998660056812764,0.9997996144772978,0.9965194908512331,0.9957183505713383,0.9973219213404869,0.81,0.9970264631204486,0.9975004980891489,0.9965528784821808
