epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.4190710212952067,0.7544023362693278,0.9651178338171398,0.9513081896054846,0.9169677071234555,0.9270056121081001,0.9071448605318158,0.54,0.9178752483705038,0.9425994259942599,0.8944149393360898
2,0.001,0.33669704198192996,0.8562422369473756,0.9636061515220022,0.953246875368146,0.92150944426993,0.9274076789150555,0.915685760040533,0.9,0.9468701480668005,0.9929216015248836,0.9049010648981697
3,0.001,0.28109436553216055,0.5812929092390318,0.9825910336582082,0.9704981395212945,0.9239652459465006,0.9316091531160327,0.9164457553358003,0.81,0.9513463921231096,0.9965915959059518,0.9100310331412235
4,0.001,0.2334303363186366,0.6294684123029926,0.9864782505285776,0.9753552729794498,0.9273586121802545,0.9440929159987627,0.9112072163362798,0.79,0.9467647520364444,0.9978249102900788,0.9006758529590055
5,0.001,0.21308950582714142,0.28690018348917495,0.994143613983471,0.9865242647106981,0.9322763962790024,0.9324367131569659,0.9321161345191673,0.86,0.9550745931283906,0.995885096980113,0.9174771775222343
6,0.001,0.21427822592660895,0.35831767168235706,0.9949985228047017,0.9883462080944365,0.9303943362379438,0.9388668816213727,0.9220733395459932,0.86,0.9560281947969842,0.9989154761552643,0.9166719444117727
7,0.001,0.16433859764686498,0.14108630797825492,0.9977086216188316,0.9937466005560126,0.9383388358573171,0.9305166324143024,0.9462936658011165,0.82,0.9585309668913942,0.995458974858702,0.9242447546753282
8,0.001,0.15219956344734986,0.15641537988116472,0.9969722512444198,0.9905666225995157,0.9476153938270345,0.9294240473290413,0.9665330643191257,0.4,0.953277655215884,0.9233606661635391,0.985198186868367
9,0.001,0.12012654278324561,0.2875761896802364,0.9975668324857561,0.9934564812195462,0.9390190113722655,0.9438817485419676,0.9342061215811521,0.69,0.9558885178259374,0.9969835717654457,0.9180471739936849
10,0.001,0.13209167921913412,0.09736804560703986,0.9991354043848053,0.9976137783626966,0.9641700476902271,0.9484320435509421,0.980439168709908,0.69,0.9815078105651308,0.9952749021030406,0.9681163878509323
11,0.001,0.10260353490216004,0.16227525881357208,0.9990411857115465,0.9973383983397414,0.9626543695872231,0.9573952106525396,0.96797162684231,0.61,0.9745159887888851,0.996830262946247,0.9531788612737159
12,0.001,0.2102521167025373,0.1101353490901084,0.9992269325055627,0.9979059326022903,0.9663051003923379,0.9483661326433718,0.984935807540239,0.72,0.9848388469652525,0.9963978813245425,0.9735449256742696
13,0.001,0.16131703067034525,0.13617005025156773,0.9985557060584184,0.9959754315628722,0.9547556320232271,0.9457132459324877,0.9639726039791182,0.14,0.96537324740883,0.9406493038268066,0.991431957802166
14,0.001,0.14569375342057655,0.1243152503178089,0.9990910544274749,0.9975645163659969,0.9634323937953978,0.9486914117316868,0.9786387036651678,0.71,0.9788462601071961,0.99666182193258,0.961656427841161
15,0.001,0.12191655699210838,0.0574929628597963,0.9996198294427264,0.9990043362476076,0.968243076814807,0.9421442328268778,0.9958290734390692,0.91,0.9904640466323603,0.9971117610922128,0.983904385353805
16,0.001,0.06904321991676816,0.06306820530044664,0.9997237856251799,0.9992561763641757,0.9713577624358294,0.950715999757435,0.9929157581405449,0.74,0.9936616329013921,0.997320427637875,0.9900295855311372
17,0.001,0.10063236735980426,0.05947004856711891,0.9996453097645142,0.9990240327724037,0.9691700721100804,0.9460244160901518,0.9934767070489564,0.78,0.9919915786799036,0.9949756976680684,0.9890253060338198
18,0.001,0.08088188304784223,0.07539530624265814,0.9997804936441039,0.9994324971678078,0.9687043715366347,0.9424832909724183,0.9964262125996363,0.76,0.9945487143408301,0.9978959449120123,0.9912238638522713
19,0.001,0.08177126163148676,0.04791129396309812,0.9997806945281855,0.9994669066256947,0.9785673321863455,0.961961367013373,0.995756692934758,0.84,0.9945662050666958,0.9988775016654955,0.9902919648592652
20,0.001,0.0996275650093724,0.18950927484328808,0.9997621463925042,0.9993704488069004,0.9904646324549237,0.9989876400047857,0.9820858251829869,0.19,0.9931282692848142,0.9951129561165261,0.9911514833479602
21,0.001,0.4799102457246824,0.052805152477576854,0.9997324527528786,0.9992886202834687,0.9690722556963474,0.9435207404868015,0.9960462149520026,0.82,0.9944998796422878,0.9984769721842225,0.9905543441873931
22,0.0005,0.0890119692995228,0.04119731768019199,0.9998335878259548,0.9995656053144963,0.969931626789627,0.9440623527900304,0.9972585883992147,0.84,0.9955813774319419,0.9973758285662399,0.9937933717553177
23,0.0005,0.08623041085153765,0.040887915978516806,0.9998211064890893,0.9995290913264223,0.9710592218969348,0.9470334792442445,0.9963357369692474,0.84,0.995827853612081,0.9982906449178509,0.9933771838555285
24,0.0005,0.08807007715202242,0.04361420914354203,0.9998114521067945,0.999520771706317,0.9710445905369118,0.9470628709039305,0.996272404027975,0.83,0.9961156237237373,0.9992170643554892,0.9930333764600505
25,0.0005,0.07626985641757733,0.03617021388938966,0.999865222980007,0.9996484698322942,0.9721517647214515,0.9485563762202366,0.9969509712558923,0.83,0.9965669401323338,0.9990634320215319,0.9940828937725623
26,0.00025,0.0767176629006675,0.034776204297806736,0.9998728213190606,0.9996712186545149,0.9728031072074855,0.949682445300449,0.9970776371384368,0.84,0.9970071284758122,0.9994090747929489,0.9946166999918572
27,0.00025,0.0701105947982636,0.03382851974818579,0.9998817452797241,0.9996914118941342,0.9733013673832515,0.9504846331620158,0.9972404932731369,0.85,0.9971808771007451,0.999073645206114,0.9952952672197743
28,0.00025,0.07729968509807224,0.034965033925270575,0.9998700473836656,0.9996618499786799,0.9716847236792229,0.9473815397045047,0.9972676359622535,0.88,0.9968916518650088,0.9985113779738402,0.9952771720936966
29,0.00025,0.07187431802405354,0.03517608550178206,0.9998743424488806,0.9996734184335061,0.9734452296819788,0.9509894453410199,0.9969871615080478,0.83,0.9969398441360613,0.9991004089050431,0.9947886036895962
30,0.000125,0.07025918176620026,0.03407876056245712,0.9998840311912423,0.9996975370078848,0.9737296633491919,0.9513595166163142,0.9971771603318647,0.87,0.9971703760134951,0.9995727156195169,0.9947795561265573
