epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,8.875535701724655,8.875535701724655,0.0,0.6302498568177922,0.20046707280103795,0.0,0.0,0.0,1.0,55.755415153503414,0.99,0.6526138279932546,0.48435544430538174,1.0
2,0.0002,13.620704464202232,4.593344171402302,90.27360128199801,0.9876521450532822,0.8756015158125358,0.5340406719717065,0.84593837535014,0.39018087855297157,1.0,1.6276501071453093,0.98,0.7210060549604099,0.5637290604515659,1.0
3,0.0002,7.806657181191952,3.4525390443734243,43.54118041992187,0.9868236294104329,0.8681977743753714,0.5379061371841155,0.8922155688622755,0.3850129198966408,1.0,1.1195280528068534,0.99,0.7938461538461539,0.6581632653061225,1.0
4,0.0002,6.238549837964646,3.0441935232176003,31.943562584193884,0.9757413093467491,0.7877348581388777,0.5129087779690189,0.7680412371134021,0.3850129198966408,1.0,0.8319816863536834,0.97,0.8066701406982804,0.6759825327510917,1.0
5,0.0002,5.3002782158817805,2.8352528097274456,24.650253498807867,0.9831002048699473,0.8392927920779023,0.5292035398230088,0.8398876404494382,0.3863049095607235,1.0,0.878541597127914,0.96,0.834051724137931,0.7153419593345656,1.0
6,0.0001,4.691712625246521,2.6592101201267107,20.32502466134146,0.9855943410131219,0.8581347548538335,0.5261324041811847,0.8074866310160428,0.39018087855297157,1.0,0.750772250890729,0.97,0.8454396504642272,0.7322611163670766,1.0
7,0.0001,4.376197490962684,2.5732455018226137,18.029519588930388,0.9908461304042049,0.9034782683718748,0.5422842197035745,0.8337801608579088,0.4018087855297158,1.0,0.7610964775085449,0.97,0.8585690515806988,0.7521865889212828,1.0
8,0.0001,4.150726193096621,2.547021932263746,16.03704236023815,0.9851080196809828,0.86552754147241,0.5205020920502093,0.7387173396674585,0.4018087855297158,1.0,0.7576990491151807,0.96,0.8399348887683126,0.7240411599625819,1.0
9,0.0001,3.946388582811288,2.4993200979165153,14.470684554729056,0.992258884425933,0.9154471525807839,0.540913006029285,0.8113695090439277,0.40568475452196384,1.0,0.7299009597301478,0.93,0.8633575013943112,0.7595682041216879,1.0
10,0.0001,3.747364820453292,2.454232072356745,12.931327324995758,0.9949325351547965,0.9419382927826309,0.5489177489177489,0.8320209973753281,0.4095607235142119,1.0,0.7475392818450928,0.97,0.873589164785553,0.7755511022044088,1.0
11,0.0001,3.572510696979279,2.408348630742824,11.641620326481812,0.992751389992603,0.9220494033225585,0.5437229437229437,0.8241469816272966,0.40568475452196384,1.0,0.678877004981041,0.95,0.8770538243626063,0.781029263370333,1.0
12,0.0001,3.4340090735415196,2.3757811260223387,10.582279264571818,0.9968505067808414,0.9606331885322916,0.719633307868602,0.8803738317757009,0.6085271317829457,1.0,0.6863819175958632,0.93,0.8750706613906162,0.7778894472361809,1.0
13,0.0001,3.3068470589658046,2.346005033871806,9.608420022734514,0.9963155704939176,0.9555124874032609,0.7201834862385321,0.8820224719101124,0.6085271317829457,1.0,0.5894675254821777,0.94,0.8770538243626063,0.781029263370333,1.0
14,0.0001,3.200189402965789,2.3405979169345072,8.59591463575972,0.9932169254253465,0.9261774749195987,0.5395744680851063,0.7905236907730673,0.4095607235142119,1.0,0.6786529368162136,0.96,0.8740824392998306,0.7763289869608826,1.0
15,0.0001,3.08423767238644,2.307914084982365,7.763235687093532,0.994823108560458,0.9406477688183917,0.7021276595744681,0.8523985239852399,0.5968992248062015,1.0,0.5826025521755208,0.93,0.8760611205432938,0.7794561933534743,1.0
16,5e-05,2.9237091775988855,2.2455634660923733,6.781456892135296,0.9957674068164695,0.9513596469052003,0.6824224519940916,0.7965517241379311,0.5968992248062015,1.0,0.5559519869089121,0.95,0.8514851485148515,0.7413793103448276,1.0
17,5e-05,2.8666394891130165,2.2403869616731686,6.2625250286075245,0.9955461486476969,0.9463536880624119,0.7080459770114943,0.8700564971751412,0.5968992248062015,1.0,0.5159398221969603,0.96,0.8850771869639794,0.7938461538461539,1.0
