epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.7785709103102945,0.888786623533698,0.9621952232103941,0.946476885570192,0.9148066732998589,0.9363383163758313,0.8942430356383508,0.51,0.9197097989481144,0.9488287074895377,0.892324952274105
2,0.001,0.372201831839464,0.8358923312200851,0.9609029317183626,0.9500218369885062,0.9191535441131641,0.9244828848617975,0.9138852949957929,0.9,0.9424888542448929,0.9927904112469584,0.8970387326173695
3,0.001,0.31871624716891195,0.5923632101328667,0.982034386285968,0.9689950521194607,0.9247482849555985,0.9343782325993794,0.9153148099559384,0.76,0.9484617245189777,0.9966808205250882,0.904692970948275
4,0.001,0.26604567409045654,0.6203685218430259,0.9841815538035709,0.9721523398122409,0.9286314870546073,0.9434082040366698,0.914310530458621,0.77,0.95076657922897,0.9973080628979547,0.9083753291051055
5,0.001,0.23254097079945696,0.3487388164978656,0.9912305054284433,0.9817643657849228,0.924840138622327,0.9298131704328264,0.9199200195427362,0.84,0.9558042327543097,0.9986198602115557,0.9165090882770726
6,0.001,0.2603851922845397,0.4622748815770093,0.992086067346934,0.9830496525836844,0.9292691850361291,0.9395559172500532,0.9192052620626634,0.8,0.9562769378766587,0.9986211651154774,0.9173776543288066
7,0.001,0.22039626709823396,0.20306003437594372,0.995958447708355,0.9897672073429647,0.9246617926690356,0.9276127692896036,0.9217295321505152,0.88,0.9563544275143953,0.9987687397805401,0.9173957494548843
8,0.001,0.18251093965398277,0.17308923128570572,0.9969958114272695,0.9913897392472446,0.9374688287705393,0.9311637538604353,0.9438598713436536,0.77,0.9555324484677962,0.9954220174492697,0.918716693658563
9,0.001,0.14798291325031898,0.3032261525192532,0.9969569078107138,0.9921464289600529,0.9297179724855682,0.943274826574794,0.9165452785292282,0.74,0.9544831756890834,0.9988233083821974,0.9139124376849096
10,0.001,0.15964046204271407,0.23752984420200024,0.9965749779070986,0.9913561856267169,0.929071595729121,0.9388122708000406,0.9195309743320637,0.7,0.955998736760734,0.9978647196583551,0.9175043202113511
11,0.001,0.17661692488911554,0.29319470632135397,0.9981718435859402,0.9951739583131968,0.955944768264388,0.9983255355823689,0.9170157518072507,0.29,0.9614001035800436,0.9925529865125241,0.9321432772082839
12,0.001,0.28433780297977107,0.18945160822726936,0.9974471766398991,0.9933440510666419,0.9435326263978865,0.9435582378009609,0.9435070163851367,0.75,0.9562982247627672,0.998817745637974,0.917250988446262
