epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.363154663525101,0.7354633747506596,0.9621749213175708,0.9265011425757911,0.9123980552433028,0.9334841543296354,0.8922435242067549,0.54,0.9129164231443601,0.936673678599644,0.890334488405548
2,0.001,0.4314358602890693,0.8276158428955284,0.9644557511156213,0.9534468222181036,0.9268451512900238,0.93975690731045,0.9142833877695042,0.85,0.92925082567299,0.9980368531483059,0.8693350945922715
3,0.001,0.28864464350122815,0.48053691432872364,0.9856516469357539,0.9725342993936589,0.9156647161528709,0.9132050682120874,0.9181376496240737,0.95,0.9251347647327547,0.9343286611978998,0.9161200430664
4,0.001,0.27026828368700334,0.4798557692173962,0.9914029854679456,0.9801641202888277,0.9280240393204128,0.9398415319812213,0.9165000407140337,0.72,0.9504492163512862,0.9943760810476896,0.910239127091118
5,0.001,0.22832472178748653,0.4048414092871199,0.9922322086318582,0.982751271961579,0.9297408131227374,0.9407765551480123,0.9189609778606133,0.8,0.9560038696585734,0.9991418256426443,0.9164367077727614
6,0.001,0.20333545499166983,0.295941724591045,0.9946988317579226,0.9875925548025764,0.9292973685656211,0.9405702953414451,0.918291458195735,0.76,0.9545390104437409,0.9991294282916019,0.9137586291132483
7,0.001,0.15783261363938025,0.37807902111394187,0.9963157687075511,0.9908114866107944,0.9307644340107109,0.9435618068402607,0.9183095533218127,0.75,0.95525630912964,0.9993279968376322,0.9149076696191881
8,0.001,0.18860880887184428,0.19004652219010518,0.9974688842804149,0.9934387860582521,0.9541116670567609,0.9319409217178253,0.9773629972766835,0.42,0.9564451610359226,0.9272473962315443,0.987541505695441
9,0.001,0.17404594455824632,0.2345669321907234,0.9960957807276251,0.9905025664549685,0.9294165460365589,0.9382640924932234,0.9207343002162368,0.79,0.9541957695195727,0.9980537827744956,0.9140300560044152
10,0.001,0.15534302685965296,0.2310788893345251,0.9975280393447788,0.9934736225951637,0.931048678516865,0.941539998704795,0.9207885855944701,0.79,0.9559340591919278,0.9991614048934491,0.916291946764139
11,0.001,0.1389021586609662,0.14755111393794815,0.9976967349557349,0.9940976322528712,0.9383384593019294,0.9423326094494224,0.9343780252788911,0.26,0.9588006065735647,0.9349214673188848,0.9839315280429216
12,0.001,0.1399180903417503,0.1686254278626182,0.998137213687555,0.9948634656762023,0.9376229740736335,0.9485256677313336,0.9269680711500358,0.17,0.9634157136281557,0.9430066627966417,0.9847277135903444
13,0.001,0.1763247771185303,0.17135398015197037,0.9979061690762245,0.993075474901057,0.9561363476795619,0.9282981569686694,0.9856958028355063,0.68,0.9771609372016693,0.9819821466097746,0.972386837605291
14,0.001,0.1502968605745662,0.11089499028728599,0.9984691745114216,0.9958910386005063,0.9576990859735336,0.9401167857765382,0.9759515774426158,0.8,0.9700960500353673,0.9987543239332701,0.943036543107114
15,0.001,0.11614110937243555,0.08091754410438116,0.9993484327872805,0.9982781424211711,0.9656194138755451,0.9471632439958232,0.9848091416576945,0.71,0.9864272844508264,0.9972814779882937,0.9758068164339935
16,0.001,0.48560701698538217,0.10035503703953144,0.9989178055245943,0.9962432605970657,0.96383244529398,0.9410872226340925,0.9877043618301411,0.56,0.9885665304567492,0.9910881545204882,0.986057705357062
17,0.001,0.17260278702850662,0.08681535275945776,0.999198417490176,0.9979604352844305,0.9634980179317317,0.9447802078351233,0.9829724863607987,0.72,0.9844142647240569,0.9962016638565155,0.972902548698508
18,0.001,0.12935307199318827,0.0939828285554621,0.9990952872861785,0.9976300442405469,0.964075390644069,0.946109088375172,0.9827372497217874,0.73,0.9836331925830732,0.9981742475757548,0.9695097125589223
19,0.0005,0.1781701257556081,0.05873580689878772,0.9996585687254369,0.9991386954137804,0.9679512291744613,0.9425157297399236,0.9947976512526351,0.75,0.9945564580202578,0.9981500719922722,0.9909886272132601
20,0.0005,0.10681605843506098,0.05749665988852126,0.9996184483557772,0.9990333224249129,0.9680310963033476,0.9436849657590156,0.9936667058727732,0.78,0.9934142902624278,0.9987927896618897,0.9880934070408136
21,0.0005,0.10121828270471143,0.05045311753570273,0.9996875486541424,0.9991979241225839,0.9688312604123511,0.9445203537085256,0.9944267011680404,0.79,0.9942347794087583,0.9985034584709725,0.9900024428420205
22,0.0005,0.1038263885402754,0.06552315714676851,0.9995098429548062,0.9988533005594789,0.9682864066313852,0.9453168091560948,0.9924000470473278,0.8,0.9927552060579583,0.9987089921898605,0.9868719860305627
23,0.00025,0.0898591200548382,0.0527281787372587,0.9996008619037486,0.999155095657326,0.968838901170523,0.943801425985191,0.995240981841541,0.79,0.9955363623167368,0.9982805833280265,0.9928071873840781
24,0.00025,0.08984322638559535,0.04991046204006184,0.9996621097464748,0.9992284488506045,0.9712339839143512,0.9487772466044215,0.9947795561265573,0.81,0.9955338906892514,0.9988342334629642,0.9922552860387055
