model_name,run_name,seed,data_root,variant_id,entity_mode,split_strategy,window_seconds,min_len,max_len_build,max_len,d_model,n_heads,n_layers,dropout,lr,weight_decay,mask_prob_train,mask_prob_score,score_passes,num_candidates,benign_percentile,vhm_weight,evaluation_mode,roc_auc,pr_auc,accuracy,f1,precision,recall,balanced_accuracy,specificity,fpr,fnr,mcc,selected_sequence_threshold,selected_distance_threshold,best_epoch,best_val_pr_auc
logbert,20260506_004916_src_plus_dst_plus_svc_win300_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9982356134636265,0.9813743496400839,0.978787498431028,0.8761904761904762,0.7806788511749347,0.998330550918197,0.9877646239933005,0.9771986970684038,0.022801302931596087,0.0016694490818030022,0.8726050545624077,0.925000011920929,0.48299342989921606,14,0.981618485885509
logbert,20260506_033228_src_plus_dst_plus_svc_win300_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,0.9952653626474816,0.9585151921929258,0.9890799548136061,0.9321901792673422,0.8742690058479532,0.998330550918197,0.9933292276849399,0.9883279044516828,0.011672095548317045,0.0016694490818030022,0.9286923240273759,0.9657142758369446,55.103830337524414,5,0.9616611965323042
logbert,20260506_004916_src_plus_dst_plus_svc_win300_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9982356134636265,0.9813743496400839,0.983055102296975,0.8982667671439337,0.8186813186813187,0.994991652754591,0.9885381716541685,0.9820846905537458,0.01791530944625407,0.005008347245409006,0.8941527986733875,0.99,0.48299342989921606,14,0.981618485885509
logbert,20260506_033228_src_plus_dst_plus_svc_win300_min5_max2048_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,0.9952653626474816,0.9585151921929258,0.9913392745073428,0.9450199203187251,0.9039634146341463,0.989983305509182,0.9907164084549167,0.9914495114006513,0.008550488599348533,0.010016694490818013,0.9414743315565808,0.99,55.103830337524414,5,0.9616611965323042
logbert,20260506_013426_src_plus_dst_plus_svc_win300_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9924937101104083,0.9079258668573509,0.9825530312539225,0.8958801498127341,0.8125,0.998330550918197,0.989800454612193,0.9812703583061888,0.018729641693811073,0.0016694490818030022,0.8920707742925514,0.9666666984558105,0.6780044257640842,7,0.9056019166203657
logbert,20260506_035938_src_plus_dst_plus_svc_win300_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,0.9950237139713493,0.9567684988353037,0.9884523660097904,0.928125,0.8722466960352423,0.991652754590985,0.9899224685007042,0.9881921824104233,0.011807817589576546,0.00834724540901501,0.9241180079902015,0.9108535170555123,52.14335708618165,9,0.8992681975796203
logbert,20260506_013426_src_plus_dst_plus_svc_win300_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9924937101104083,0.9079258668573509,0.9844357976653697,0.906060606060606,0.8294036061026352,0.998330550918197,0.9908183699216393,0.9833061889250813,0.016693811074918564,0.0016694490818030022,0.9022403111112691,0.99,0.6780044257640842,7,0.9056019166203657
logbert,20260506_035938_src_plus_dst_plus_svc_win300_min5_max2048_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,0.9950237139713493,0.9567684988353037,0.9920923810719217,0.9491525423728814,0.91875,0.9816360601001669,0.9872892569773364,0.9929424538545059,0.007057546145494027,0.018363939899833023,0.9454791792056848,0.99,52.14335708618165,9,0.8992681975796203
logbert,20260506_020529_src_plus_dst_plus_svc_win300_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9906535322171045,0.9016684636565845,0.9487887536086356,0.5952380952380952,0.7334963325183375,0.5008347245409015,0.743020511021808,0.9852062975027143,0.014793702497285557,0.49916527545909767,0.5807591319208036,1.0,1.7580321311950686,2,0.8765585896909022
logbert,20260506_043439_src_plus_dst_plus_svc_win300_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,0.9024854127128277,0.5956620612756954,0.9892054725743693,0.9328125,0.8766519823788547,0.996661101836394,0.992630225185298,0.9885993485342018,0.011400651465798044,0.0033388981636060045,0.9292255237184485,0.9600000381469727,49.85223236083984,5,0.6365137903137141
