model_name,variant_id,entity_mode,split_strategy,window_seconds,min_len,max_len_build,max_len,d_model,n_heads,n_layers,dropout,lr,weight_decay,mask_prob_train,mask_prob_score,score_passes,num_candidates,benign_percentile,vhm_weight,evaluation_mode,data_root,n_runs,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,specificity_mean,specificity_std,specificity_min,specificity_max,fpr_mean,fpr_std,fpr_min,fpr_max,fnr_mean,fnr_std,fnr_min,fnr_max,mcc_mean,mcc_std,mcc_min,mcc_max,selected_sequence_threshold_mean,selected_sequence_threshold_std,selected_sequence_threshold_min,selected_sequence_threshold_max,selected_distance_threshold_mean,selected_distance_threshold_std,selected_distance_threshold_min,selected_distance_threshold_max
logbert,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,5,0.9967691394224104,0.0034195426772823325,0.9907819857900029,0.9990622866604066,0.9566569425979733,0.03791980876399051,0.8899788305194435,0.9803212037777049,0.9694154164511122,0.01998525077395804,0.9469218830832902,0.9849974133471289,0.7637687688791314,0.1992375287953448,0.5374211000901713,0.9143532191376255,0.8562444791497207,0.03176632344995168,0.8242811501597445,0.8911174785100286,0.7573643410852713,0.3322956224804076,0.3850129198966408,1.0,0.8726198603413085,0.16253954956382727,0.6904257041278278,0.9918456866494207,0.9878753795973454,0.007261890748849116,0.9814419075469574,0.9958384883590146,0.012124620402654366,0.007261890748849107,0.004161511640985265,0.018558092453042397,0.24263565891472835,0.3322956224804071,0.0,0.6149870801033583,0.7716874821268799,0.1826304957371062,0.5651166796604569,0.9102111599782602,0.9540033415555949,0.04552539239708644,0.8950167661905262,1.0,0.895602703690528,0.4778241324676746,0.4252480840682972,1.6589462137222277
logbert,src_plus_dst_plus_svc_win120_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,120,5,2048,108,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win120_min5_max2048,5,0.9967691394224104,0.0034195426772823325,0.9907819857900029,0.9990622866604066,0.9566569425979733,0.03791980876399051,0.8899788305194435,0.9803212037777049,0.9828453181583032,0.007991509988936081,0.9705121572684946,0.9889291257113295,0.9046814186183223,0.03954867645255017,0.8445171849427169,0.9353474320241691,0.8278149655968958,0.06447953622413441,0.7308781869688386,0.8785471055618616,1.0,0.0,1.0,1.0,0.9906759644584412,0.004343602746770177,0.983972556517827,0.9939826791137105,0.9813519289168822,0.008687205493540384,0.9679451130356538,0.9879653582274208,0.018648071083117758,0.008687205493540358,0.01203464177257901,0.03205488696434596,0.0,0.0,0.0,0.0,0.9008770320462547,0.03946654996001995,0.8411004513735837,0.9316512791093503,0.99,0.0,0.99,0.99,0.895602703690528,0.4778241324676746,0.4252480840682972,1.6589462137222277
logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,5,0.9704489612618932,0.04025907571175768,0.9024854127128277,0.9952653626474816,0.8165079198554046,0.18612745056172061,0.5956620612756954,0.9585151921929258,0.9759256934856282,0.02857554554275145,0.9248148613028744,0.9892054725743693,0.7439082624220199,0.41586608743738074,0.0,0.9328125,0.6974659067946065,0.389923562487359,0.0,0.8766519823788547,0.7969949916527546,0.445542150586511,0.0,0.998330550918197,0.8937336521781688,0.2201077707202702,0.5,0.9933292276849399,0.9904723127035829,0.005350616631200747,0.9872421281216068,0.9999999999999999,0.009527687296416936,0.005350616631200737,0.0,0.01275787187839305,0.20300500834724508,0.4455421505865102,0.0016694490818030022,0.9999999999999983,0.7409670622867346,0.4142226146034512,0.0,0.9292255237184485,0.9606468939781191,0.03197804500212686,0.9108535170555123,1.0,50.738635101318366,3.1028767682135423,46.75202560424805,55.103830337524414
logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,5,0.9704489612618932,0.04025907571175768,0.9024854127128277,0.9952653626474816,0.8165079198554046,0.18612745056172061,0.5956620612756954,0.9585151921929258,0.9910631354336641,0.0015662081844924453,0.9887034015313166,0.9927199698757374,0.9435351242426269,0.00924874640052318,0.9295774647887324,0.9536741214057508,0.9000659945967291,0.018270364881461325,0.8748159057437408,0.91875,0.9916527545909851,0.006572627607689341,0.9816360601001669,0.998330550918197,0.9913339777298031,0.0030042685321915825,0.9872892569773364,0.994530333762931,0.9910152008686209,0.0018544816560690813,0.9884636264929423,0.9929424538545059,0.008984799131378934,0.0018544816560690555,0.007057546145494027,0.011536373507057544,0.00834724540901501,0.006572627607689313,0.0016694490818030022,0.018363939899833023,0.9400589864340064,0.00954768456475234,0.9256073582885349,0.9507735306467637,0.99,0.0,0.99,0.99,50.738635101318366,3.1028767682135423,46.75202560424805,55.103830337524414
logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,5,0.9949570311721126,0.003236254416176082,0.9906535322171045,0.9982356134636265,0.9418463399987855,0.03564951281089027,0.9016684636565845,0.9813743496400839,0.9748713442952177,0.014667167926131316,0.9487887536086356,0.9828040667754487,0.8308827959397554,0.13199227751998605,0.5952380952380952,0.8972243060765192,0.7888147287818854,0.033728507048417726,0.7334963325183375,0.8147138964577657,0.8988313856427379,0.22248689726041312,0.5008347245409015,0.998330550918197,0.9399422943414558,0.11008598443025132,0.743020511021808,0.9899361766534525,0.9810532030401735,0.002889636685958367,0.9771986970684038,0.9852062975027143,0.018946796959826272,0.0028896366859583805,0.014793702497285557,0.022801302931596087,0.10116861435726195,0.22248689726041276,0.0016694490818030022,0.49916527545909767,0.824991260661905,0.1367779634046866,0.5807591319208036,0.8934092850015487,0.967058345079422,0.031028154685529833,0.925000011920929,1.0,0.845396757125855,0.5208030231743358,0.48299342989921606,1.7580321311950686
logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,5,0.9949570311721126,0.003236254416176082,0.9906535322171045,0.9982356134636265,0.9418463399987855,0.03564951281089027,0.9016684636565845,0.9813743496400839,0.9781097025229071,0.012428983907398269,0.9560687837328982,0.9856909752730011,0.8760000110232887,0.057912725738991436,0.7736093143596378,0.9128440366972477,0.7846384653044461,0.08689933794626935,0.6314677930306231,0.842031029619182,0.9973288814691152,0.0014932006527544445,0.994991652754591,0.998330550918197,0.9869380563697367,0.006480974819621168,0.9754817792593157,0.9908183699216393,0.9765472312703581,0.013487589113949826,0.9526330076004342,0.9847991313789358,0.023452768729641686,0.013487589113949849,0.015200868621064059,0.04736699239956568,0.0026711185308848037,0.0014932006527544478,0.0016694490818030022,0.005008347245409006,0.8731221971615646,0.05564379561916388,0.7748337851797196,0.908927676705234,0.99,0.0,0.99,0.99,0.845396757125855,0.5208030231743358,0.48299342989921606,1.7580321311950686
logbert,src_plus_dst_plus_svc_win300_min5_max2048_temporal,src_plus_dst_plus_svc,global_temporal_group_holdout_v1,300,5,2048,149,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win300_min5_max2048_temporal,5,0.9930715582406068,0.00525120210720842,0.9851830772149497,0.9987552339063724,0.9881971480700228,0.008644312883848673,0.9754879971039248,0.9977481509606899,0.8789890981169475,0.10037930388697332,0.8052527254707631,0.9968615791212422,0.7908025460227084,0.17786817414697484,0.6583598956824109,0.9958650707290533,0.9719689510648388,0.015432012769205099,0.9513715710723192,0.9921942758022549,0.7003931847968545,0.273318063544144,0.4962865880297073,1.0,0.8439814529561962,0.1342226877142283,0.7446904387691697,0.9973911257547355,0.9875697211155376,0.01071903200514368,0.9689243027888443,0.9952191235059759,0.012430278884462147,0.010719032005143665,0.004780876494023903,0.03107569721115537,0.29960681520314536,0.2733180635441439,0.0,0.5037134119702925,0.7521693131253258,0.20534347042278606,0.5993932661898776,0.9933538336336496,0.9899999976158143,0.022360685106199395,0.949999988079071,1.0,1.2187140541076649,0.5146513789040831,0.5366076755523664,1.6438496398925768
logbert,src_plus_dst_plus_svc_win300_min5_max2048_temporal,src_plus_dst_plus_svc,global_temporal_group_holdout_v1,300,5,2048,149,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_dst_plus_svc_win300_min5_max2048_temporal,5,0.9930715582406068,0.00525120210720842,0.9851830772149497,0.9987552339063724,0.9881971480700228,0.008644312883848673,0.9754879971039248,0.9977481509606899,0.9698381235546746,0.012816949816062349,0.9567228278823918,0.9836471754212092,0.9618487391126813,0.015741022440651033,0.9458677685950413,0.9788325849903784,0.9268572964551955,0.02932919887927838,0.8972951783614269,0.9585427135678392,1.0,0.0,1.0,1.0,0.9757503320053121,0.010304623397933773,0.9652058432934927,0.9868525896414342,0.9515006640106239,0.020609246795867578,0.9304116865869851,0.9737051792828683,0.04849933598937582,0.020609246795867574,0.02629482071713147,0.0695883134130146,0.0,0.0,0.0,0.0,0.9390888410663228,0.02502530035314723,0.9137034093542745,0.9660942007717778,0.99,0.0,0.99,0.99,1.2187140541076649,0.5146513789040831,0.5366076755523664,1.6438496398925768
logbert,src_plus_svc_win300_min5_max2048,src_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,308,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_svc_win300_min5_max2048,5,0.9602227577126644,0.012823510187942264,0.9379336598708414,0.9690648676518138,0.7869546776589923,0.04558273480202642,0.7080647393878611,0.8198470884382104,0.9333982094200077,0.007004454490790564,0.9213701829505644,0.9384974698326197,0.6362745943750344,0.02381389307590923,0.5951903807615231,0.6527472527472528,0.9036310387338693,0.08833425841807085,0.7576530612244898,0.9769736842105263,0.4924092409240924,0.004303103897823533,0.4900990099009901,0.5,0.7423873212563976,0.004637052085506223,0.7345684811199567,0.7466902030008826,0.9923654015887025,0.007873638446838256,0.979037952338923,0.9984554280670783,0.007634598411297438,0.007873638446838247,0.0015445719329214471,0.020962047661076785,0.5075907590759068,0.004303103897823511,0.49999999999999917,0.509900990099009,0.637439724864483,0.03977547964547833,0.569998894806939,0.6678887228375224,1.0,0.0,1.0,1.0,2.086153403282163,0.6439947511887238,1.5608710050582886,3.1733219146728513
logbert,src_plus_svc_win300_min5_max2048,src_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,308,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert_variants\src_plus_svc_win300_min5_max2048,5,0.9602227577126644,0.012823510187942264,0.9379336598708414,0.9690648676518138,0.7869546776589923,0.04558273480202642,0.7080647393878611,0.8198470884382104,0.7284935772674193,0.0133025247817881,0.7148695990657844,0.7458154924094978,0.46483005379476994,0.012248978614297933,0.4523364485981308,0.4809220985691574,0.3029746307012727,0.010401750862715355,0.29241179313678106,0.31675392670157065,0.9986798679867988,0.0007379762301979345,0.9983498349834984,1.0,0.8455226347877506,0.007599474417828987,0.8376568239348207,0.8551987480301428,0.6923654015887025,0.015065455240782677,0.6769638128861428,0.7120476610767872,0.3076345984112974,0.01506545524078267,0.28795233892321265,0.32303618711385695,0.001320132013201318,0.0007379762301979491,0.0,0.0016501650165016474,0.45736875403391475,0.01290715865610971,0.44412794457859733,0.4741319677287227,0.99,0.0,0.99,0.99,2.086153403282163,0.6439947511887238,1.5608710050582886,3.1733219146728513
