epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.0830050292643794,1.4662723498923116,0.9231318733609539,0.8506232240729169,0.5072166340376696,0.9990426295774273,0.33988980068218627,0.27,0.8181301338979395,0.8925771850837887,0.7551458014783718
2,0.001,0.8643626459234983,1.1512433446169208,0.9296104112016961,0.851192402945924,0.4904868566720733,0.849789236568013,0.3447302469079953,0.45,0.8259431827788027,0.9169187625587917,0.7513910628172302
3,0.001,0.7560621523210834,0.9892195286370034,0.9521057685182754,0.8787149472184658,0.8253288589267399,0.9176585214628151,0.7498801197897347,0.49,0.8263293203844873,0.9173585655611005,0.7517348702127082
4,0.001,0.6531719736636044,1.0130456541252737,0.9609151338654647,0.8998601194155891,0.8282192394850213,0.9212147399676482,0.7522777239950419,0.1,0.8334344856083986,0.7948783211271306,0.8759217204845875
5,0.001,0.5942488379587875,0.7568256311062612,0.9635367888014728,0.8999742664631921,0.8265918586842849,0.9139903983164172,0.7544491391243768,0.19,0.8449980042661493,0.8037968482077243,0.8906511531119093
6,0.001,0.6667650723784073,0.8627103493578409,0.95872753029509,0.9086835223367352,0.8236985850931738,0.9000986785652995,0.7592533950980304,0.59,0.8265933739414648,0.9130663107337833,0.7550824685370995
7,0.001,0.6234267315433458,0.665652682607192,0.9680972165977184,0.9300304454322998,0.8247748891536614,0.8959378746247122,0.7640847937608005,0.77,0.8512963536824708,0.9918284332013527,0.7456458602875315
8,0.001,0.5490639642208921,0.8141513480651814,0.9645220768812724,0.9161790489922691,0.8246338346603755,0.9026933382113996,0.7590000633329412,0.59,0.826722668313774,0.9107873878582005,0.7568648384557619
9,0.001,0.5736223565677714,0.6653458087003631,0.981849742811326,0.9544509085598991,0.828512172238408,0.9120272224215344,0.7590091108959802,0.21,0.8803338689519729,0.8687551205588787,0.8922254290806771
10,0.001,0.5169456752185546,1.0190474619704644,0.9648261559759304,0.921977206110619,0.8308762843290848,0.9155375969329964,0.7605471966125924,0.59,0.8502937720329025,0.9766557515580437,0.7528839107186479
11,0.001,0.47763003400323206,1.4262052679137303,0.9596825619469544,0.913539913462952,0.7602722236408247,0.9836395236932447,0.619577116903562,0.42,0.8454293966884993,0.9652233485444898,0.7520877251712251
12,0.001,0.5743263570287171,0.8320948118216424,0.9714190229846683,0.9120747392697167,0.8265491340000295,0.9056853951964124,0.7601310087128033,0.14,0.8784854252943248,0.8658523725834798,0.8914925764745266
13,0.0005,0.47649675072872516,0.9094309241254857,0.9700558974615392,0.9189087572353137,0.8276705226152365,0.9049183495989951,0.762573850733305,0.07,0.8492803322001881,0.8015853893600616,0.9030101242230405
14,0.0005,0.49508345174975493,0.872704728248005,0.9692385760643614,0.9131401126907841,0.8313169651682284,0.9160177309212891,0.7609543369493427,0.27,0.8379959904498064,0.8892804191969453,0.7923041428791155
