epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,11.216460349466844,11.216460349466844,0.0,0.6497013861400653,0.1781296778350594,0.0,0.0,0.0,1.0,48.64831008911136,0.98,0.5751271382339344,0.4041585445094217,0.9967948717948718
2,0.0002,4.803363471914845,4.803363471914845,0.0,0.7086864426192256,0.2179787043387157,0.0,0.0,0.0,1.0,51.16298408508301,0.96,0.7349112426035503,0.5825515947467167,0.9951923076923077
3,0.0002,3.719502347068736,3.719502347068736,0.0,0.9677194202547976,0.7478980272809955,0.0,0.0,0.0,1.0,49.84173011779785,0.96,0.7791718946047679,0.6402061855670103,0.9951923076923077
4,0.0002,3.316351901035777,3.316351901035777,0.0,0.9672336802348594,0.726101117930816,0.0,0.0,0.0,1.0,50.48628997802739,0.96,0.812089356110381,0.688195991091314,0.9903846153846154
5,0.0002,3.0401101826477985,3.0401101826477985,0.0,0.8447466775886587,0.27011299929632654,0.0,0.0,0.0,1.0,54.10680503845215,0.97,0.8144736842105263,0.6908482142857143,0.9919871794871795
6,0.0002,2.8989575159570777,2.8989575159570777,0.0,0.73904502206389,0.24168340017551976,0.0,0.0,0.0,1.0,50.38493347167969,0.95,0.828,0.708904109589041,0.9951923076923077
7,0.0001,2.738924504254951,2.738924504254951,0.0,0.8479266082450044,0.31182499848093526,0.0,0.0,0.0,1.0,50.83306121826172,0.97,0.8347943358057991,0.7206053550640279,0.9919871794871795
8,0.0001,2.6652171880803137,2.6652171880803137,0.0,0.8795829759862779,0.4255853604649342,0.0,0.0,0.0,1.0,49.26332397460939,0.95,0.8524365133836651,0.7454981992797118,0.9951923076923077
