epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.24173462895466,0.5684261968976139,0.9721975587358006,0.9440267329023769,0.9118397102229441,0.9196050645956789,0.9042044025441748,0.77,0.9160438616555955,0.9462350036646993,0.8877197426873071
2,0.001,0.3340627223983329,0.7141603804242879,0.9718463813762483,0.9595301760981845,0.9294496245564816,0.9420248106676579,0.9172057506310676,0.89,0.9466341653480824,0.9968476672737826,0.9012368018674171
3,0.001,0.2317869434891795,0.41703927974002863,0.9908615920737744,0.9803991650865838,0.912942380550518,0.9059557218584346,0.9200376378622418,0.95,0.9234893830082614,0.9292375054961161,0.9178119373546735
4,0.001,0.2750151291790855,0.41694873985543013,0.9937881418573629,0.9857483658347385,0.9396964449424468,0.9623317875330735,0.9181014593719182,0.65,0.9548850222795828,0.9959420289855072,0.917079084748523
5,0.001,0.19633570363881275,0.29012075894968525,0.9959361401177522,0.9898114059073625,0.9346607446520816,0.9471860426227681,0.9224623847566658,0.8,0.9554627237236671,0.9976172894205682,0.9167262297900061
6,0.001,0.17074621613262553,0.2241488339436057,0.9973627522495873,0.9931539828938587,0.9375051574749003,0.9502430229640437,0.9251042731640232,0.77,0.9560178096068223,0.9974144202599343,0.9179205081111402
7,0.001,0.11353718878896324,0.303300150255847,0.9974960274672976,0.9933130626013361,0.9367884795762603,0.95238629458234,0.9216933418983597,0.7,0.9558613741119308,0.9964661536045233,0.9184362192043573
8,0.001,0.11809429941456803,0.09760418495895898,0.9993909634814813,0.9982395573835545,0.9812442614036495,0.967003716035175,0.9959105015064192,0.72,0.9917930862969411,0.9913403478323751,0.9922462384756666
9,0.001,0.08701942776125605,0.10081504711591084,0.9994821479020193,0.9986812299787723,0.9741647612493618,0.9564110611291279,0.9925900458711446,0.65,0.9876507217790977,0.9945688073394495,0.9808282139205805
10,0.001,0.10018570224140586,0.11216352570424404,0.9992935023755946,0.9981997283475563,0.9705608595058904,0.9513167841099651,0.9905995820025876,0.66,0.9810291904354549,0.9921718854097269,0.970133994408606
11,0.001,0.05378306367422877,0.0643413340862981,0.9997103584193945,0.9992988378498702,0.9735994734912565,0.9511521532752222,0.9971319225166702,0.78,0.9960377298682715,0.9970355193733795,0.9950419354546853
12,0.001,0.08936928141421278,0.05010343934552908,0.9997383755266965,0.9994540294765746,0.9945392336800127,0.9962955564836841,0.9927890922580003,0.31,0.9950356824465895,0.9953825260298778,0.9946890804961683
13,0.001,0.15926869272517863,0.053401133542879946,0.9998094886906697,0.9995550400953288,0.9848264765693088,0.9731226483421365,0.9968152578103088,0.75,0.9960278458423729,0.9972338109922002,0.9948247939417518
14,0.001,0.07161278531457556,0.037975684822575316,0.9997800261850682,0.9994382905350568,0.9704194610198729,0.9446867208718525,0.9975933482316538,0.89,0.9960065199674002,0.9968821658071475,0.9951324110850742
15,0.001,0.06890183704536446,0.039555875827302904,0.9997619959392158,0.999450376266362,0.9952762318447129,0.9954744168786148,0.9950781257068408,0.49,0.9952902107868198,0.9954027981394002,0.9951776489002687
16,0.001,0.18284792216160492,0.06323584793763708,0.9997166788370297,0.999287503934297,0.974973114353616,0.9542666551156546,0.9965981162973753,0.75,0.9961097952547654,0.9972072104747742,0.9950147927655686
17,0.0005,0.06938897446461378,0.03099490989004134,0.9998563289706268,0.9996278187992503,0.9809622583559973,0.9654698068902674,0.9969600188189311,0.8,0.9963055859902026,0.997118181735797,0.9954943136066301
18,0.0005,0.053030420731955116,0.024317636969433426,0.999855984118435,0.9996387915255188,0.9952855749431018,0.9935179091425429,0.997059542012359,0.94,0.996465629494526,0.999399344739716,0.9935490875532675
