epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,7.991630082663041,7.991630082663041,0.0,0.7614751800980049,0.508443547227635,0.0,0.0,0.0,1.0,60.17692520141601,0.98,0.8361790493770189,0.71847739888977,1.0
2,0.0002,13.147017995485697,4.1378516543850274,90.09166188907916,0.996256756989002,0.9860124198031064,0.6512989388949872,0.9663409337676439,0.4911699779249448,1.0,1.5836977338790892,0.98,0.8573456352022711,0.7503105590062111,1.0
3,0.0002,7.685545826351026,3.2726561590889354,44.12889568253374,0.9919503020556458,0.9709149900013438,0.6450437317784257,0.9495708154506438,0.48841059602649006,1.0,1.044002609252926,0.96,0.8834146341463415,0.7915209790209791,0.9994481236203091
4,0.0002,6.06309880502447,2.939587707175189,31.235110549777918,0.9900865194435637,0.9635832097548236,0.6472090477927763,0.9547900968783638,0.48951434878587197,1.0,0.9223433399200431,0.98,0.8958694039079891,0.8117436127297176,0.9994481236203091
5,0.0002,5.15029080127535,2.7384149113329856,24.118758398960946,0.9905755018445852,0.9601856468340892,0.6486486486486487,0.958963282937365,0.4900662251655629,1.0,0.8406696915626524,0.97,0.9098669344715039,0.8346384154767388,1.0
6,0.0001,4.494626837169803,2.5909506755899496,19.03676125124174,0.9888403867833423,0.9579790941939408,0.6458635703918723,0.9427966101694916,0.4911699779249448,1.0,0.807484049797056,0.96,0.9151086407276402,0.8438956197576887,0.9994481236203091
7,0.0001,4.1863810682741205,2.5327825793963634,16.53598469258226,0.9843769711503126,0.9435759153233942,0.6352087114337568,0.9278897136797455,0.4828918322295806,1.0,0.837139983177185,0.95,0.9134930643127365,0.8411518810961449,0.9994481236203091
