epoch,lr,train_total_loss,train_mlm_loss,train_vhm_loss,val_roc_auc,val_pr_auc,val_f1_unsupervised,val_precision_unsupervised,val_recall_unsupervised,val_seq_threshold_unsupervised,val_distance_threshold_unsupervised,val_tuned_sequence_threshold,val_f1_tuned,val_precision_tuned,val_recall_tuned
1,0.0002,8.394823768732255,8.394823768732255,0.0,0.707112705644113,0.3853914622413991,0.0,0.0,0.0,1.0,47.53950500488281,0.98,0.8240109140518418,0.7006960556844548,1.0
2,0.0002,12.988329520544617,4.246341782422728,87.41987604949169,0.9866856281042475,0.9561416018917415,0.6486288848263254,0.9609967497291441,0.48951434878587197,1.0,1.6137140989303589,0.98,0.8518344308560677,0.7422131147540983,0.9994481236203091
3,0.0002,7.65573130364764,3.311719747436193,43.440114633881905,0.9814587088231841,0.9401961829454669,0.6395007342143906,0.9550438596491229,0.4806843267108168,1.0,1.1603927612304688,0.97,0.8759371221281741,0.7795953508394318,0.9994481236203091
4,0.0002,6.1073198483860205,2.9334417265012953,31.7387808185273,0.9873316169127759,0.9559127018229855,0.6469945355191257,0.9517684887459807,0.4900662251655629,1.0,0.9598200345039363,0.98,0.8932182490752157,0.8074008024966562,0.9994481236203091
5,0.0002,5.230682778756402,2.741185102621355,24.894976186009593,0.990990071892937,0.9695423739020138,0.6476608187134503,0.9588744588744589,0.488962472406181,1.0,0.9140284276008589,0.97,0.9066332916145181,0.8295923041685753,0.9994481236203091
6,0.0002,4.664527585963962,2.6167368049040984,20.477907250304273,0.9928104320633504,0.9753206242997137,0.6481142438667155,0.9630032644178455,0.48841059602649006,1.0,0.8322633266448971,0.96,0.9176589815049404,0.8482435597189696,0.9994481236203091
7,0.0002,4.167507763258594,2.5096491880268914,16.5785855130051,0.9938751503330638,0.9788682677608491,0.6498168498168498,0.9662309368191722,0.48951434878587197,1.0,0.7654596233367916,0.96,0.9244512506380806,0.8599240265906932,0.9994481236203091
8,0.0002,3.814356042051701,2.460702248195206,13.536537800119302,0.9861232846307229,0.9511437766440972,0.6398243045387995,0.95,0.48233995584988965,1.0,0.7499011158943176,0.96,0.9230377166156982,0.8574810606060606,0.9994481236203091
9,0.0002,3.506519378004965,2.4019640999417975,11.045552598242532,0.9882709128878173,0.9595467328375826,0.6422555840351519,0.9542981501632208,0.48399558498896245,1.0,0.6993797850608819,0.92,0.922332569391393,0.8562647754137116,0.9994481236203091
10,0.0002,3.377831735611848,2.335613887315122,10.422178213709968,0.9933585604007077,0.9758855778319233,0.64546783625731,0.9556277056277056,0.48730684326710816,1.0,0.6415935850143432,0.96,0.9327839299510687,0.8744567841622405,0.9994481236203091
11,0.0001,3.124066091649165,2.260548992225349,8.635170763999929,0.9923930281293319,0.9736821011755493,0.6447608616283315,0.9525350593311759,0.48730684326710816,1.0,0.6039655590057366,0.95,0.9320638188368502,0.873191899710704,0.9994481236203091
12,0.0001,3.0170841088281843,2.2407773333166086,7.7630675252540495,0.996757669134524,0.9884163295720508,0.6505494505494506,0.9673202614379085,0.4900662251655629,1.0,0.5758784770965575,0.96,0.9397715472481828,0.8872549019607843,0.9988962472406181
13,0.0001,2.92232559317386,2.222259080262713,7.000664897507381,0.9981218651282506,0.993055530701783,0.6552227903579255,0.968682505399568,0.49503311258278143,1.0,0.5366076755523664,0.93,0.9361592142672526,0.8804083616917842,0.9994481236203091
14,0.0001,2.8382004992064775,2.210877261378716,6.273232159357487,0.9965654219875155,0.9879384032132296,0.6542261251372119,0.9706840390879479,0.49337748344370863,1.0,0.5163693380355832,0.94,0.9375809375809376,0.8833577354807223,0.9988962472406181
15,0.0001,2.770984156519425,2.191130241435033,5.798538985465158,0.9968886220770298,0.9891233708424683,0.6499454743729552,0.952076677316294,0.49337748344370863,1.0,0.49185723066329956,0.95,0.9388284085018144,0.8851417399804496,0.9994481236203091
16,0.0001,2.6810959344516654,2.176101680989567,5.049942425397175,0.9979400393672427,0.9926779331653249,0.9541490857946554,0.9730349971313826,0.9359823399558499,1.0,0.47654475569724963,0.96,0.9354338842975206,0.879126213592233,0.9994481236203091
17,5e-05,2.5611907657729254,2.129323948578818,4.318668210214442,0.9942791161640816,0.9803108816961005,0.6512651265126512,0.9704918032786886,0.4900662251655629,1.0,0.43782528162002504,0.93,0.9422175950026028,0.8916256157635468,0.9988962472406181
18,5e-05,2.527145636800429,2.126601295598474,4.005443409383823,0.9979507350002431,0.9925448099741382,0.9541490857946554,0.9730349971313826,0.9359823399558499,1.0,0.4303077459335327,0.93,0.9359173126614987,0.879980563654033,0.9994481236203091
