epoch,lr,train_loss,val_loss,val_roc_auc,val_pr_auc,val_f1_at_0_5,val_precision_at_0_5,val_recall_at_0_5,val_tuned_threshold,val_tuned_f1,val_tuned_precision,val_tuned_recall
1,0.001,2.433028607234527,0.7459753279381636,0.9646517136011665,0.9519292452304502,0.9196589155779537,0.9280811505541787,0.9113881675970578,0.56,0.9411277067104981,0.9939719024233153,0.8936187537886671
2,0.001,0.30273868130618187,0.879127987100072,0.961219375942889,0.9514908549418247,0.9260005045524391,0.9390908752604942,0.913270060709148,0.92,0.9463448844493515,0.9935227747597158,0.9034444072489075
3,0.001,0.24871634640608256,0.48692178206193565,0.9868214251640871,0.9753023319895091,0.9297059228334175,0.943048872425379,0.9167352773530449,0.77,0.9533450745789441,0.9969583851790406,0.9133876790286536
4,0.001,0.19355486093600255,0.5399111822771762,0.988192932452855,0.9774945270923014,0.9419771106627867,0.968688751852383,0.9166990871008893,0.66,0.9532254718937979,0.9951179660816757,0.9147176707953713
5,0.001,0.16792985843366248,0.2491539354328818,0.9958334904000339,0.9900894302521476,0.935771098593351,0.9451191377050996,0.9266061686284799,0.83,0.9557479625418438,0.9963581034652007,0.9183186008848516
6,0.001,0.20184780384424758,0.19616611295322042,0.9972586610730311,0.9928071769344229,0.9339919745147671,0.9382772411022443,0.9297456730029766,0.91,0.9572189493892455,0.9972450170103042,0.9202819220642919
7,0.001,0.12829549702760892,0.10421339436916245,0.9981993943719574,0.995160039630573,0.9524124197422823,0.9401881187246008,0.9649587883503579,0.42,0.95838171214643,0.9358359773761898,0.9820405873677925
8,0.001,0.12315387987433096,0.101798543875737,0.9987338856024148,0.9964746280971611,0.9670325813216802,0.938745261723242,0.9970776371384368,0.54,0.9704317780157691,0.9460609081222288,0.9960914527671971
9,0.001,0.08768857440404669,0.183163949926698,0.9993660387801748,0.9983984884809677,0.9680355946086827,0.9967509129072141,0.9409284609190515,0.18,0.9861205833600564,0.9845508658008658,0.9876953142671021
10,0.001,0.08894919257464629,0.09520634323490774,0.9994698558441795,0.9986430902002603,0.9779548057419613,0.9945925718027879,0.9618645217910555,0.24,0.9894348026833971,0.9900622355893357,0.9888081645208863
11,0.001,0.08716373650179629,0.12902349444071834,0.9995906934715332,0.9989776519329192,0.9694265564134588,0.9956416418707561,0.9445565336976486,0.2,0.9936122153957354,0.9922405781671524,0.994987650076452
12,0.001,0.2808108382468537,0.08172927446886195,0.9996281173012791,0.9991354956455645,0.9884026258205689,0.9960949344408405,0.9808282139205805,0.27,0.991153891472025,0.9929177827212058,0.9893962561184145
13,0.001,0.1199834049464914,0.09686380580738531,0.9997237051435504,0.999277552852196,0.9782696807236685,0.9963410858531369,0.9608421471676604,0.23,0.9905430278631595,0.9926852095846471,0.9884100717471749
14,0.001,0.28697650417149717,0.06908613843113538,0.9996670984697567,0.9992467832100899,0.9914670122760827,0.9931817769142774,0.9897581586399703,0.53,0.9917239877311748,0.994693680656054,0.9887719742687308
15,0.001,0.07280758840097762,0.06620464975108617,0.9996905815557844,0.9993470119857454,0.9650742779083972,0.9350057689697299,0.997140970079709,0.95,0.9810319647347289,0.9687058989556873,0.993675753435812
16,0.001,0.05879711423985853,0.04346158666863936,0.9997749809866936,0.9995615474416538,0.9845534816139488,0.9731502103439743,0.9962271662127806,0.69,0.9959363037125966,0.9973776858304297,0.9944990816723516
17,0.001,0.0669384954576851,0.04504513281503265,0.9996811988256554,0.999186208992067,0.9952600638919891,0.9941056470248412,0.9964171650365974,0.64,0.9957837593304683,0.9958017788152692,0.9957657404977969
18,0.001,0.04544346568818768,0.053261768868969696,0.9998395399395152,0.9994904159427489,0.9943520694017712,0.993158412535088,0.9955485989848635,0.47,0.9944217349081957,0.9928924486777069,0.9959557393216137
19,0.001,0.0519810546015232,0.023351741590652147,0.9999138716006888,0.9997759863584873,0.9945554848866215,0.9917059479687669,0.9974214445339148,0.84,0.9960819839202808,0.9973423554168783,0.9948247939417518
20,0.001,0.037872331875641145,0.09991806124516447,0.9997404853855391,0.9993492469885529,0.9953413407340671,0.9961305640133391,0.994553367050585,0.39,0.9957082321443915,0.9954066224207462,0.9960100246998471
21,0.001,0.24430061712857096,0.03209938114162148,0.9998617734625572,0.9996821147786664,0.9959027316628043,0.9944965716347889,0.997312873777448,0.72,0.9967829946654722,0.9969679416396647,0.9965981162973753
22,0.001,0.11001073741130685,0.026774765231329607,0.9998297773286992,0.9996950591991862,0.9955067038172696,0.9937699478875525,0.9972495408361758,0.71,0.9965166567142573,0.9965256729246776,0.9965076406669864
23,0.0005,0.09230252683048165,0.020132102383427927,0.999853712144361,0.9997688265221948,0.9965682661831795,0.9960413578684791,0.9970957322645145,0.68,0.9969004104128111,0.9971575993482393,0.9966433541125698
24,0.0005,0.042097274938521584,0.023481710515476924,0.9998356480362075,0.999721819490739,0.9923894992191473,0.9873282825569107,0.9975028726012648,0.86,0.9971627803847215,0.9974471320973349,0.996878590751581
